year-semester	topic	url
2025 FA	Related Work to Ongoing Research	https://naizhengtan.notion.site/SIGPAPER-FA-2025-26b0c167a8fb80e09479d5e4efff467a
2025 SP	Related Work to Ongoing Research	https://naizhengtan.notion.site/SIGPAPER-SP-2025-1810c167a8fb80078c51ded2b63a3da4
2024 FA	LLM	https://naizhengtan.notion.site/SIGPAPER-FA-2024-9bd146ecf75047788e26fce58367453a
2024 SP	CXL and ML Systems	https://naizhengtan.notion.site/SIGPAPER-SP-2024-fffa52714baf48778c31b9754e3ca796
2023 FA	OSDI/SOSP	https://naizhengtan.notion.site/SIGPAPER-FA-2023-1e8896455cf74b39ba14271a38726a37
2023 SP	System Verification	https://naizhengtan.notion.site/SIGPAPER-SP-2023-b1a87e4eb20e49e795aaa345b98820c8
2022 FA	Persistent Memory	https://naizhengtan.notion.site/SIGPAPER-FA-2022-029b420e270348069d04865c086974ed
