year	caption	file
2025	Spring retreat - Walden Pond 	2025_Spring_retreat_Walden_Pond.jpg
2025	New England Systems Day 	2025_New_England_Systems_Day.jpg
2024	Systems Day	2024_systems_day.jpg
2024	Spring retreat - Middlesex Fells 	2024_spring_retreat_middlesex_fells.jpg
2023	Spring retreat - Blue Hills	2023_spring_retreat_blue_hills.jpg
