first	last	research	personalweb	groupweb	photo
Gene	Cooperman	checkpoint-restart, high-performance computing, debugging, model checking	https://www.ccs.neu.edu/home/gene/	http://dmtcp.sourceforge.net/index.html	cooperman_X.jpg
Peter	Desnoyers	cloud computing, object storage and caching, flash and SMR translation layers	https://www.ccs.neu.edu/home/pjd/		desnoyers_X.jpg
Cristina	Nita-Rotaru	information security, distributed systems, computer networks	http://cnitarot.github.io/	https://nds2.ccs.neu.edu/	nita-rotaru_X.jpg
Ji-Yong	Shin	distributed systems, formal verification, serverless computing, systems for ML	https://www.jiyongshin.info		shin_X.jpg
Cheng	Tan	computer systems, verifiable cloud services, neural network verification	http://naizhengtan.github.io/		tan_X.jpg
Xiang (Jenny)	Ren	Computer systems, software performance & reliability	https://jrenx.github.io/
