title	url
2025 New England Systems Day	https://khoury-srg.github.io/nesd25/
2024 Northeastern Systems Day	https://khoury-srg.github.io/Northeastern-Systems-Day-2024/
2023 Pre-OSDI/ATC Workshop	https://khoury-srg.github.io/pre-osdi-atc-2023/
2023 Northeastern Systems Day	https://khoury-srg.github.io/Northeastern-Systems-Day-2023/
